date,coho_N_fish,coho_N_adult,coho_N_juvenile,coho_N_adult_dead,coho_N_adult_live,coho_biomass,coho_biomass_adult,coho_biomass_juvenile,coho_biomass_adult_dead,coho_biomass_adult_live,coho_count_hour,trout_N_fish,trout_N_adult,trout_N_juvenile,trout_N_adult_dead,trout_N_adult_live,trout_biomass,trout_biomass_adult,trout_biomass_juvenile,trout_biomass_adult_dead,trout_biomass_adult_live,trout_count_hour,fish_online,fish_count,a_online,a_perf,a_count,a_start,a_end,a_notes,j_online,j_perf,j_count,j_start,j_end,j_notes
3/19/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,11:45,11:50,No fish in box,1,2,0,12:16,15:15,"Attempted start of season, poor trap performance due to high flows"
3/20/19,1,0,1,0,0,0.029,0,0.0286,0,0,11,17,6,11,0,6,11.174,10.72,0.454,0,10.72,11,1,1,1,1,1,8:43,9:12,"Rain last night, flows up",1,2,0,10:35,11:26,"Poor trap performance, storm expected"
3/21/19,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,9.7,9.7,0,0,9.7,9,1,1,1,1,1,8:52,9:28,,1,3,0,,,Trap not operational due to high flows
3/22/19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4.59,4.59,0,0,4.59,8,1,1,1,1,1,8:30,8:45,"3 SH, one found in panels.",1,3,0,,,Trap not operational due to high flows
3/23/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3.4,3.4,0,0,3.4,9,1,1,1,1,1,9:45,10:06,Kelly,1,3,0,,,Trap not operational due to high flows
3/24/19,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,10.99,10.99,0,0,10.99,9,1,1,1,1,1,9:15,10:47,Six fish in box,1,3,0,,,Trap not operational due to high flows
3/25/19,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,10.7,10.7,0,0,10.7,9,1,1,1,1,1,8:30,9:30,5 SH (one was a recap).,1,3,0,,,Trap not operational due to high flows
3/26/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:30,,1,3,0,,,Trap not operational due to high flows
3/27/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:15,9:25,"checked trap, no fish. Flow too high to clear panels",1,3,0,,,Trap not operational due to high flows
3/28/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:30,,1,3,0,,,Trap not operational due to high flows
3/29/19,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,1,3,0,,,Trap not operational due to high flows
3/30/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:50,9:55,no fish,1,3,0,,,Trap not operational due to high flows
3/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:30,,1,3,0,,,Trap not operational due to high flows
4/1/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.35,1.35,0,0,1.35,8,1,1,1,1,1,9:00,9:35,1 male sthd,1,3,0,,,Trap not operational due to high flows
4/2/19,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,6.49,6.49,0,6.49,0,8,1,1,1,1,1,8:01,8:39,Four kelts found as morts on weir panels.,1,3,0,,,Trap not operational due to high flows
4/3/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,3.77,3.77,0,1.37,2.4,9,1,1,1,1,1,8:13,9:30,1 SH and 1 SH Carc.,1,3,0,,,Trap not operational due to high flows
4/4/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,5.5,5.5,0,0,5.5,10,1,1,1,1,1,11:15,11:37,"1 sthd female in trap box, 1 giant male sthd found on panels. Both released US",1,3,0,,,Trap not operational due to high flows
4/5/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.72,1.72,0,1.72,0,8,1,1,1,1,1,9:15,9:30,checked trap. No fish in trap. One female SH mort found on panels. Brought back to lab.,1,3,0,,,Trap not operational due to high flows
4/6/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.9,3.9,0,0,3.9,9,1,1,1,1,1,8:47,9:04,With Kellie. No fish in adult trap. Spooked MA kelt from Trap 2 area and caught with dipnet on pannels (released DS).,1,3,0,,,Trap not operational due to high flows
4/7/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:40,No fish,1,3,0,,,Trap not operational due to high flows
4/8/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,2.68,2.68,0,1.03,1.65,9,1,1,1,1,1,9:15,10:15,kelt on panels; attempted to capture live fesh between panels and smolt trap,1,3,0,,,Trap not operational due to high flows
4/9/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.54,1.54,0,1.54,0,8,1,1,1,1,1,9:00,9:27,,1,3,0,,,Trap not operational due to high flows
4/10/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.23,1.23,0,0,1.23,8,1,1,1,1,1,9:15,9:35,"checked trap. One female SH, tagged",1,3,0,,,Trap not operational due to high flows
4/11/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:20,,1,3,0,,,Trap not operational due to high flows
4/12/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:18,,1,3,0,,,Trap not operational due to high flows
4/13/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:40,9:59,,1,3,0,,,Trap not operational due to high flows
4/14/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,4.81,4.81,0,3.06,1.75,9,1,1,1,1,1,9:14,9:51,"One recap female SH in trap box, one mort male SH on panels (length 74.5!). Some sand build up in trap box",1,3,0,,,Trap not operational due to high flows
4/15/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.7,1.7,0,0,1.7,8,1,1,1,1,1,9:00,9:30,"1 female sthd in trap, new tag.",1,2,0,9:30,11:30,Trap reinstalled
4/16/19,15,0,15,0,0,0.315,0,0.3148,0,0,12,28,3,25,0,3,5.28,4.98,0.3001375,0,4.98,11,1,1,1,1,1,9:15,10:30,,1,1,1,9:10,10:54,
4/17/19,11,0,11,0,0,0.208,0,0.2084,0,0,12,63,11,52,0,11,18.863,18.13,0.732543639,0,18.13,11,1,1,1,1,1,8:00,9:15,,1,1,1,9:15,10:41,
4/18/19,23,0,23,0,0,0.447,0,0.4473,0,0,10,83,0,83,0,0,1.268,0,1.2683655,0,0,10,1,1,1,1,1,9:15,9:30,CHECKED TRAP.NO FISH.,1,1,1,8:20,10:16,
4/19/19,37,0,37,0,0,0.776,0,0.775554,0,0,13,107,13,94,0,13,23.005,21.3,1.705368,0,21.3,12,1,1,1,1,1,8:30,9:00,NO FISH IN TRAP BOX,1,1,1,9:00,13:30,
4/20/19,127,0,127,0,0,3.128,0,3.1279735,0,0,11,107,1,106,0,1,2.989,1.14,1.849459,0,1.14,12,1,1,1,1,1,9:40,9:50,Checked adult trap. No fish. One adult in trap 2,1,1,1,9:50,1:30,
4/21/19,297,0,297,0,0,7.603,0,7.6027855,0,0,0,126,1,125,0,1,3.791,1.8,1.9911405,0,1.8,0,1,1,1,1,1,,,,1,1,1,10:10,1:18,
4/22/19,236,0,236,0,0,6.034,0,6.0343745,0,0,0,130,39,91,0,39,66.244,64.52344,1.7200815,0,64.523,14,1,1,1,1,1,9:00,9:15,no fish in trap.,1,1,1,9:30,13:13,
4/23/19,82,0,82,0,0,1.892,0,1.892357497,0,0,11,114,0,114,0,0,1.686,0,1.685891,0,0,0,1,1,0,,,,,,1,1,1,,,
4/24/19,81,0,81,0,0,1.656,0,1.656313,0,0,11,169,5,164,0,5,9.691,7.23,2.461112639,0,7.23,0,1,1,1,1,1,9:00,9:15,no fish in weir trap,1,1,1,9:15,13:06,
4/25/19,48,0,48,0,0,1.003,0,1.003011,0,0,11,214,3,211,0,1,3.616,0.6394,2.9770325,0,0.5,0,1,1,1,1,1,9:00,9:00,,1,1,1,8:30,12:17,
4/26/19,44,0,44,0,0,0.934,0,0.93369,0,0,10,252,3,249,0,3,8.313,4.94543085,3.367643,0,4.945,0,1,1,1,1,1,9:00,9:30,"I FEMALE STHD THAT WAS JUST TAGGED IN TRAP 2 A FEW DAYS A GO, SENT BACK DS.",1,1,1,9:15,12:18,
4/27/19,53,0,53,0,0,1.036,0,1.0359255,0,0,11,313,5,308,0,5,10.452,6.27,4.182492,0,6.27,0,1,1,1,1,1,9:30,9:45,I sthd male in box,1,1,1,10:00,13:46,
4/28/19,52,0,52,0,0,1.042,0,1.042268497,0,0,11,196,2,194,0,2,5.525,2.85,2.6754305,0,2.85,0,1,1,1,1,1,9:30,10:15,1 MALE AND 1 FEMALE STHD IN BOX,0,,,,,
4/29/19,55,0,55,0,0,1.062,0,1.0621355,0,0,10,255,5,250,0,5,9.363,6.35,3.0128025,0,6.35,0,1,1,1,1,1,,,,1,1,1,9:10,12:40,
4/30/19,64,0,64,0,0,1.306,0,1.305917,0,0,10,119,3,116,0,3,5.205,3.77,1.4346315,0,3.77,0,1,1,1,1,1,9:00,9:00,,1,1,1,,,
5/1/19,257,0,257,0,0,7.038,0,7.037839,0,0,0,119,2,117,0,2,4.444,3.13,1.3141065,0,3.13,0,1,1,1,1,1,9:00,9:20,2 SH females in trap,1,1,1,9:10,1:32,
5/2/19,270,0,270,0,0,7.505,0,7.505007,0,0,0,81,4,77,0,4,7.485,6.43,1.055306,0,6.43,0,1,1,1,1,1,9:15,9:45,1 SH in trap passed US.,1,1,1,10:00,13:30,
5/3/19,131,0,131,0,0,3.525,0,3.525251,0,0,0,70,1,69,0,1,2.738,1.68,1.0578435,0,1.68,12,1,1,1,1,1,9:00,9:00,,1,1,1,9:30,12:15,
5/4/19,68,0,68,0,0,1.733,0,1.733274,0,0,11,124,1,123,0,1,3.293,1.47,1.822555,0,1.47,0,1,1,1,1,1,9:00,9:05,NO FISH in adult trap,1,1,1,9:10,11:06,
5/5/19,47,0,47,0,0,1.168,0,1.167683,0,0,11,106,1,105,0,1,3.696,2.02,1.675682,0,2.02,4.5,1,1,1,1,1,9:00,9:15,"One male SH in trap, Ripe",1,1,1,9:55,11:58,
5/6/19,43,0,43,0,0,0.965,0,0.965383,0,0,10,95,5,90,0,5,9.402,8.08,1.322161,0,8.08,9,1,1,0,,,,,,1,1,1,,,
5/7/19,25,0,25,0,0,0.472,0,0.471725,0,0,10,106,2,104,0,2,4.272,2.7,1.571967,0,2.7,0,1,1,0,,,,,,1,1,1,,,
5/8/19,36,0,36,0,0,0.677,0,0.6772965,0,0,10,126,0,126,0,0,1.887,0,1.886544,0,0,0,1,1,0,,,,,,1,1,1,,,
5/9/19,32,0,32,0,0,0.645,0,0.645424497,0,0,10,140,0,140,0,0,1.971,0,1.9711175,0,0,0,1,1,1,1,1,9:15,9:18,no fish in weir box,1,1,1,9:30,11:41,
5/10/19,29,0,29,0,0,0.592,0,0.591952,0,0,10,147,0,147,0,0,2.212,0,2.212380139,0,0,0,1,1,1,1,1,9:00,9:05,NO FISH IN WEIR BOX,1,1,1,9:30,11:10,
5/11/19,146,0,146,0,0,3.988,0,3.9879025,0,0,0,139,0,139,0,0,2.034,0,2.033804,0,0,0,1,1,1,1,1,9:30,9:35,no fish in weir box,1,1,1,9:40,12:28,
5/12/19,268,0,268,0,0,7.528,0,7.528248,0,0,0,98,0,98,0,0,1.485,0,1.4845235,0,0,0,1,1,1,1,1,,,,1,1,1,9:30,13:05,
5/13/19,214,0,214,0,0,6.153,0,6.152782,0,0,0,135,1,134,0,1,3.157,1,2.1568025,0,1,0,1,1,1,3,0,,,Weir Panel removed to allow adult/kelt (DOWNSTREAM) passage.,1,1,1,,,
5/14/19,40,0,40,0,0,1.09,0,1.09036,0,0,10,86,0,86,0,0,1.249,0,1.248564,0,0,0,1,1,1,3,0,,,weir panel still removed,1,1,1,,,
5/15/19,34,0,34,0,0,0.912,0,0.91175,0,0,10,93,0,93,0,0,1.425,0,1.425195,0,0,10,1,1,1,3,0,8:23,9:55,weir panel still removed,1,1,1,,,
5/16/19,7,0,7,0,0,0.186,0,0.1863095,0,0,11,74,1,73,0,1,2.211,1,1.2105355,0,1,11,1,1,1,3,0,9:00,9:10,weir panel still removed,1,1,1,9:30,11:30,
5/17/19,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.025,0,0.0253735,0,0,10,1,1,0,,,,,,1,1,1,9:15,9:18,
5/18/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,1,1,1,,,
5/19/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,1,1,1,,,
5/20/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,1,1,1,,,
5/21/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,1,1,1,,,
5/22/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,1,1,1,,,
