date,Adult_Coho_Weir,Adult_Sthd_Weir,Adult_Sthd_SmltTrap,Juv_Coho_SmltTrap,Juv_Sthd_SmltTrap,Notes
3/24/19,0,5,0,Trap Removed,Trap Removed,
3/25/19,0,5,0,Trap Removed,Trap Removed,
3/26/19,0,0,0,Trap Removed,Trap Removed,
3/27/19,0,0,0,Trap Removed,Trap Removed,
3/28/19,0,0,0,Trap Removed,Trap Removed,
3/29/19,0,0,0,Trap Removed,Trap Removed,
3/30/19,0,0,0,Trap Removed,Trap Removed,
3/31/19,0,0,0,Trap Removed,Trap Removed,
4/1/19,0,1,0,Trap Removed,Trap Removed,
4/2/19,0,0,0,Trap Removed,Trap Removed,
4/3/19,0,1,0,Trap Removed,Trap Removed,
4/4/19,0,0,0,Trap Removed,Trap Removed,
4/5/19,0,0,0,Trap Removed,Trap Removed,
4/6/19,0,0,0,Trap Removed,Trap Removed,
4/7/19,0,0,0,Trap Removed,Trap Removed,
4/8/19,0,1,0,Trap Removed,Trap Removed,
4/9/19,0,0,0,Trap Removed,Trap Removed,
4/10/19,0,1,0,Trap Removed,Trap Removed,
4/11/19,0,0,0,Trap Removed,Trap Removed,
4/12/19,0,0,0,Trap Removed,Trap Removed,
4/13/19,0,0,0,Trap Removed,Trap Removed,
4/14/19,0,0,0,Trap Removed,Trap Removed,
4/15/19,0,1,0,Trap Removed,Trap Removed,
4/16/19,0,2,0,15,25,
4/17/19,0,1,0,11,52,
4/18/19,0,0,0,22,83,
4/19/19,0,0,0,36,94,
4/20/19,0,0,1,127,106,
4/21/19,0,0,1,297,125,
4/22/19,0,0,0,236,91,
4/23/19,0,0,0,82,114,
4/24/19,0,0,5,81,164,
4/25/19,0,0,3,48,211,
4/26/19,0,0,2,44,249,
4/27/19,0,1,4,53,308,
4/28/19,0,2,0,52,194,
4/29/19,0,0,0,55,250,
4/30/19,0,0,2,64,116,
5/1/19,0,2,0,254,117,
5/2/19,0,1,3,270,77,
5/3/19,0,0,1,131,69,
5/4/19,0,0,1,68,123,
5/5/19,0,1,0,47,105,
5/6/19,0,0,5,43,90,
5/7/19,0,2,0,25,104,
5/8/19,0,0,0,36,126,
5/9/19,0,0,0,31,140,
5/10/19,0,0,0,29,147,
5/11/19,0,0,0,146,139,
5/12/19,0,0,0,268,97,
5/13/19,0,0,1,214,134,
5/14/19,0,0,0,40,86,
5/15/19,0,0,0,34,93,
5/16/19,0,0,1,7,73,
5/17/19,0,0,0,0,2,
5/18/19,0,0,,Trap Removed,Trap Removed,Trap removed due to high stream flows
5/19/19,0,0,,Trap Removed,Trap Removed,
5/20/19,0,0,,Trap Removed,Trap Removed,
5/21/19,0,0,,Trap Removed,Trap Removed,
5/22/19,0,0,,Trap Removed,Trap Removed,
5/23/19,0,0,0,7,35,
5/24/19,0,0,0,3,44,
5/25/19,0,0,0,57,111,
5/26/19,0,0,0,32,81,
5/27/19,0,0,0,14,51,
5/28/19,0,0,1,10,68,
5/29/19,0,0,1,5,94,
5/30/19,0,0,0,3,125,
5/31/19,0,0,0,3,151,
