"Plot Title: UQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076)"
145,03/25/20 01:00:00 PM,69.449,,
146,03/25/20 02:00:00 PM,68.592,,
147,03/25/20 03:00:00 PM,66.537,,
148,03/25/20 04:00:00 PM,68.763,,
149,03/25/20 05:00:00 PM,63.797,,
150,03/25/20 06:00:00 PM,57.958,,
151,03/25/20 06:28:50 PM,,0.28,
152,03/25/20 07:00:00 PM,45.828,,
153,03/25/20 07:09:40 PM,,0.29,
154,03/25/20 08:00:00 PM,41.994,,
155,03/25/20 09:00:00 PM,41.625,,
156,03/25/20 10:00:00 PM,40.881,,
157,03/25/20 11:00:00 PM,40.696,,
158,03/26/20 12:00:00 AM,40.509,,
159,03/26/20 01:00:00 AM,41.625,,
160,03/26/20 02:00:00 AM,42.363,,
161,03/26/20 03:00:00 AM,41.067,,
162,03/26/20 04:00:00 AM,39.947,,
163,03/26/20 04:19:11 AM,,0.30,
164,03/26/20 04:27:41 AM,,0.31,
165,03/26/20 04:39:43 AM,,0.32,
166,03/26/20 05:00:00 AM,40.134,,
167,03/26/20 06:00:00 AM,40.321,,
168,03/26/20 07:00:00 AM,38.818,,
169,03/26/20 08:00:00 AM,39.760,,
170,03/26/20 09:00:00 AM,53.798,,
171,03/26/20 10:00:00 AM,55.537,,
172,03/26/20 11:00:00 AM,60.883,,
173,03/26/20 12:00:00 PM,67.392,,
174,03/26/20 01:00:00 PM,68.077,,
175,03/26/20 02:00:00 PM,50.995,,
176,03/26/20 03:00:00 PM,68.248,,
177,03/26/20 04:00:00 PM,55.364,,
178,03/26/20 04:27:46 PM,,0.33,
179,03/26/20 04:30:54 PM,,0.34,
180,03/26/20 04:32:26 PM,,0.35,
181,03/26/20 04:39:22 PM,,0.36,
182,03/26/20 05:00:00 PM,54.669,,
183,03/26/20 05:54:59 PM,,0.37,
184,03/26/20 06:00:00 PM,54.842,,
185,03/26/20 07:00:00 PM,50.643,,
186,03/26/20 08:00:00 PM,45.104,,
187,03/26/20 09:00:00 PM,43.466,,
188,03/26/20 10:00:00 PM,42.548,,
189,03/26/20 11:00:00 PM,41.994,,
190,03/27/20 12:00:00 AM,42.363,,
191,03/27/20 01:00:00 AM,42.363,,
192,03/27/20 02:00:00 AM,42.548,,
193,03/27/20 03:00:00 AM,42.548,,
194,03/27/20 04:00:00 AM,42.179,,
195,03/27/20 05:00:00 AM,42.363,,
196,03/27/20 06:00:00 AM,42.548,,
197,03/27/20 07:00:00 AM,41.254,,
198,03/27/20 08:00:00 AM,43.282,,
199,03/27/20 09:00:00 AM,55.884,,
200,03/27/20 10:00:00 AM,54.669,,
201,03/27/20 11:00:00 AM,63.968,,
202,03/27/20 12:00:00 PM,61.227,,
203,03/27/20 01:00:00 PM,64.825,,
204,03/27/20 02:00:00 PM,63.111,,
205,03/27/20 03:00:00 PM,59.164,,
206,03/27/20 04:00:00 PM,60.024,,
207,03/27/20 05:00:00 PM,57.958,,
208,03/27/20 06:00:00 PM,61.054,,
209,03/27/20 07:00:00 PM,50.819,,
210,03/27/20 08:00:00 PM,47.802,,
211,03/27/20 09:00:00 PM,44.195,,
212,03/27/20 10:00:00 PM,46.369,,
213,03/27/20 11:00:00 PM,47.802,,
214,03/28/20 12:00:00 AM,46.188,,
215,03/28/20 01:00:00 AM,45.104,,
216,03/28/20 02:00:00 AM,47.266,,
217,03/28/20 03:00:00 AM,47.802,,
218,03/28/20 04:00:00 AM,47.446,,
219,03/28/20 05:00:00 AM,46.908,,
220,03/28/20 06:00:00 AM,46.908,,
221,03/28/20 07:00:00 AM,47.088,,
222,03/28/20 08:00:00 AM,47.982,,
223,03/28/20 08:01:04 AM,,0.38,
224,03/28/20 08:39:41 AM,,0.39,
225,03/28/20 09:00:00 AM,49.582,,
226,03/28/20 10:00:00 AM,54.147,,
227,03/28/20 11:00:00 AM,57.614,,
228,03/28/20 12:00:00 PM,65.338,,
229,03/28/20 01:00:00 PM,56.404,,
230,03/28/20 02:00:00 PM,69.107,,
231,03/28/20 03:00:00 PM,67.221,,
232,03/28/20 04:00:00 PM,62.598,,
233,03/28/20 05:00:00 PM,58.476,,
234,03/28/20 05:28:40 PM,,0.40,
235,03/28/20 06:00:00 PM,53.449,,
236,03/28/20 07:00:00 PM,50.466,,
237,03/28/20 08:00:00 PM,48.339,,
238,03/28/20 09:00:00 PM,46.728,,
239,03/28/20 10:00:00 PM,46.728,,
240,03/28/20 11:00:00 PM,46.008,,
241,03/28/20 11:57:20 PM,,0.41,
242,03/29/20 12:00:00 AM,47.266,,
243,03/29/20 01:00:00 AM,47.802,,
244,03/29/20 02:00:00 AM,47.802,,
245,03/29/20 03:00:00 AM,47.802,,
246,03/29/20 03:57:41 AM,,0.42,
247,03/29/20 04:00:00 AM,48.339,,
248,03/29/20 04:03:28 AM,,0.43,
249,03/29/20 04:05:49 AM,,0.44,
250,03/29/20 04:08:01 AM,,0.45,
251,03/29/20 04:10:15 AM,,0.46,
252,03/29/20 04:14:55 AM,,0.47,
253,03/29/20 04:19:12 AM,,0.48,
254,03/29/20 04:23:27 AM,,0.49,
255,03/29/20 04:24:58 AM,,0.50,
256,03/29/20 04:26:24 AM,,0.51,
257,03/29/20 04:27:58 AM,,0.52,
258,03/29/20 04:27:59 AM,,0.53,
259,03/29/20 04:29:22 AM,,0.54,
260,03/29/20 04:30:22 AM,,0.55,
261,03/29/20 04:39:09 AM,,0.56,
262,03/29/20 05:00:00 AM,48.160,,
263,03/29/20 06:00:00 AM,47.982,,
264,03/29/20 06:36:06 AM,,0.57,
265,03/29/20 07:00:00 AM,47.982,,
266,03/29/20 07:55:38 AM,,0.58,
267,03/29/20 08:00:00 AM,49.228,,
268,03/29/20 09:00:00 AM,50.819,,
269,03/29/20 09:20:57 AM,,0.59,
270,03/29/20 10:00:00 AM,55.711,,
271,03/29/20 11:00:00 AM,61.741,,
272,03/29/20 12:00:00 PM,58.993,,
273,03/29/20 01:00:00 PM,63.455,,
274,03/29/20 02:00:00 PM,60.368,,
275,03/29/20 03:00:00 PM,64.825,,
276,03/29/20 04:00:00 PM,68.934,,
277,03/29/20 05:00:00 PM,67.564,,
278,03/29/20 06:00:00 PM,63.797,,
279,03/29/20 07:00:00 PM,58.993,,
280,03/29/20 08:00:00 PM,49.404,,
281,03/29/20 09:00:00 PM,46.728,,
282,03/29/20 10:00:00 PM,46.548,,
283,03/29/20 11:00:00 PM,46.548,,
284,03/30/20 12:00:00 AM,45.648,,
285,03/30/20 01:00:00 AM,45.466,,
286,03/30/20 02:00:00 AM,44.195,,
287,03/30/20 03:00:00 AM,47.446,,
288,03/30/20 04:00:00 AM,48.517,,
289,03/30/20 05:00:00 AM,48.339,,
290,03/30/20 06:00:00 AM,48.160,,
291,03/30/20 07:00:00 AM,48.160,,
292,03/30/20 08:00:00 AM,47.266,0.59,Logged
